date,industry,gva,gos,margin
2023-12-01,Total less mining,548730,222127,40.48019973393108
2023-12-01,Total less mi and ag,535504,212300,39.64489527622576
2024-03-01,"Agriculture, forestry and fishing",13530,10099,74.64153732446415
2024-03-01,Mining,74435,62611,84.11499966413649
2024-03-01,Manufacturing,36324,14292,39.345887016848366
2024-03-01,"Electricity, gas, water and waste services",14795,8719,58.93207164582629
2024-03-01,Construction,47043,19463,41.372786599494084
2024-03-01,Wholesale trade,26905,10969,40.76937372235644
2024-03-01,Retail trade,28528,9314,32.6486259113853
2024-03-01,Accommodation and food services,16225,4832,29.781201848998457
2024-03-01,"Transport, postal and warehousing",29538,14365,48.63227029589004
2024-03-01,Information media and telecommunications,14225,7143,50.214411247803156
2024-03-01,Financial and insurance services,47241,28660,60.66764039711268
2024-03-01,"Rental, hiring and real estate services",17573,9414,53.57081886985716
2024-03-01,"Professional, scientific and technical services",49817,12905,25.90481161049441
2024-03-01,Administrative and support services,22176,2631,11.86417748917749
2024-03-01,Public administration and safety,34999,6401,18.289093974113545
2024-03-01,Education and training,31269,3566,11.404266206146662
2024-03-01,Health care and social assistance,53596,7634,14.243600268676767
2024-03-01,Arts and recreation services,4976,1615,32.45578778135048
2024-03-01,Other services,10633,1994,18.752938963603874
2024-03-01,Ownership of dwellings,59057,53583,90.73098870582658
2024-03-01,Total,632721,290060,45.843270572653665
2024-03-01,Total less mining,558286,227449,40.74058815732438
2024-03-01,Total less mi and ag,544756,217350,39.89859680297234
2024-06-01,"Agriculture, forestry and fishing",14421,11003,76.29845364399141
2024-06-01,Mining,69347,57563,83.00719569700203
2024-06-01,Manufacturing,36512,14477,39.64997808939527
2024-06-01,"Electricity, gas, water and waste services",15261,9027,59.15077648908984
2024-06-01,Construction,47961,19707,41.089635328704574
2024-06-01,Wholesale trade,26249,10303,39.25101908644139
2024-06-01,Retail trade,28611,9201,32.15895984062074
2024-06-01,Accommodation and food services,16243,4632,28.516899587514622
2024-06-01,"Transport, postal and warehousing",30551,15186,49.70704723249648
2024-06-01,Information media and telecommunications,14573,7367,50.55239140876965
2024-06-01,Financial and insurance services,47638,28894,60.65326000251899
2024-06-01,"Rental, hiring and real estate services",17693,9615,54.34352568812525
2024-06-01,"Professional, scientific and technical services",50722,13311,26.243050352904064
2024-06-01,Administrative and support services,22669,2758,12.16639463584631
2024-06-01,Public administration and safety,35660,6508,18.25014021312395
2024-06-01,Education and training,31607,3587,11.348751858765462
2024-06-01,Health care and social assistance,54265,7846,14.458675020731595
2024-06-01,Arts and recreation services,4946,1575,31.84391427416094
2024-06-01,Other services,10895,2139,19.63285910968334
2024-06-01,Ownership of dwellings,60814,55348,91.01193804058276
2024-06-01,Total,637547,290961,45.637576523770015
2024-06-01,Total less mining,568200,233398,41.076733544526576
2024-06-01,Total less mi and ag,553779,222395,40.159522119834804
2024-09-01,"Agriculture, forestry and fishing",14818,11358,76.65002024564718
2024-09-01,Mining,65582,53579,81.69772193589705
2024-09-01,Manufacturing,36620,14175,38.70835608956854
2024-09-01,"Electricity, gas, water and waste services",14945,8498,56.86182669789227
2024-09-01,Construction,48666,19822,40.73069494102659
2024-09-01,Wholesale trade,25703,9634,37.482005991518506
2024-09-01,Retail trade,28933,9392,32.46120347008606
2024-09-01,Accommodation and food services,16205,4360,26.905276149336625
2024-09-01,"Transport, postal and warehousing",30286,14800,48.86746351449515
2024-09-01,Information media and telecommunications,14513,6991,48.17060566388755
2024-09-01,Financial and insurance services,48675,29561,60.73138161273754
2024-09-01,"Rental, hiring and real estate services",17597,9505,54.0148889015173
2024-09-01,"Professional, scientific and technical services",50667,12843,25.34785955355557
2024-09-01,Administrative and support services,22780,2580,11.325724319578578
2024-09-01,Public administration and safety,36111,6592,18.254825399462767
2024-09-01,Education and training,32141,3601,11.203758439376497
2024-09-01,Health care and social assistance,55150,8016,14.534904805077062
2024-09-01,Arts and recreation services,5051,1629,32.25103939813898
2024-09-01,Other services,10905,2174,19.93580926180651
2024-09-01,Ownership of dwellings,62388,56825,91.08322113226902
2024-09-01,Total,638850,287023,44.92807388275808
2024-09-01,Total less mining,573268,233444,40.7216171145084
2024-09-01,Total less mi and ag,558450,222086,39.768287223565224
2024-12-01,"Agriculture, forestry and fishing",15422,11927,77.33756970561535
2024-12-01,Mining,65596,53513,81.5796694920422
2024-12-01,Manufacturing,36487,13987,38.334201222353165
2024-12-01,"Electricity, gas, water and waste services",14974,8454,56.45786029117137
