"","date","industry","gop","sales","margin"
"392",2008-06-01,"Mining",19400,38758,50.054182362351
"393",2008-06-01,"Manufacturing",10270,102051,10.0635956531538
"394",2008-06-01,"Electricity, gas, water and waste services",2020,8488,23.7983034872762
"395",2008-06-01,"Construction",3791,60867,6.22833390835757
"396",2008-06-01,"Wholesale trade",5424,97488,5.56376169374692
"397",2008-06-01,"Retail trade",3177,77387,4.10534069029682
"398",2008-06-01,"Accommodation and food services",1236,16319,7.57399350450395
"399",2008-06-01,"Transport, postal and warehousing",3171,24243,13.0800643484717
"400",2008-06-01,"Information media and telecommunications",4872,17199,28.3272283272283
"401",2008-06-01,"Financial and insurance services",1932,11791,16.3853786786532
"402",2008-06-01,"Rental, hiring and real estate services",3557,15815,22.4913057224154
"403",2008-06-01,"Professional, scientific and technical services",706,32147,2.19616138364389
"404",2008-06-01,"Administrative and support services",478,15953,2.99630163605591
"405",2008-06-01,"Arts and recreation services",655,5209,12.5743904780188
"406",2008-06-01,"Other services",744,11125,6.6876404494382
"407",2008-06-01,"Total",61433,534840,11.4862388751776
"408",2008-06-01,"Total less mining",42033,496082,8.47299438399297
"409",2008-09-01,"Mining",24102,46731,51.5760415997946
"410",2008-09-01,"Manufacturing",9235,102929,8.97220414071836
"411",2008-09-01,"Electricity, gas, water and waste services",2159,8846,24.4065114175899
"412",2008-09-01,"Construction",3728,59152,6.30240735731674
"413",2008-09-01,"Wholesale trade",5554,98129,5.6598966666327
"414",2008-09-01,"Retail trade",3259,78785,4.13657422098115
"415",2008-09-01,"Accommodation and food services",1230,16682,7.37321664069056
"416",2008-09-01,"Transport, postal and warehousing",2923,24384,11.9873687664042
"417",2008-09-01,"Information media and telecommunications",4757,17065,27.8757691180779
"418",2008-09-01,"Financial and insurance services",1837,11645,15.7750107342207
"419",2008-09-01,"Rental, hiring and real estate services",3960,16572,23.8957277335264
"420",2008-09-01,"Professional, scientific and technical services",1022,33366,3.06299826170353
"421",2008-09-01,"Administrative and support services",473,16160,2.9269801980198
"422",2008-09-01,"Arts and recreation services",707,5573,12.6861654405168
"423",2008-09-01,"Other services",734,11577,6.34015720825775
